id,nationality,gender,birth_date,occupation,start_date,start_date,start_date,salary_2016,location,legalentity,activitygroup,activitysubgroup
1015237788,Expat,Male,82,'Control machinery technician',2015,11,23,1967,502000,1003,3,1017
1023998965,Expat,Male,87,'Cattle breeding worker',2013,5,22,600,602000,1001,5,1029
1023077553,Expat,Male,71,'Truck driver',2013,1,26,900,101000,1003,7,1035
1021680075,Expat,Male,82,'Fitter',2012,7,10,400,401000,1001,5,1029
1028631105,Saudi,Female,94,'Administrative clerk ( general)',2015,9,7,3000,101000,1001,5,1029
1031270434,Expat,Male,95,'Common labour',2016,3,9,400,701000,1001,5,1029
1028282308,Expat,Male,78,'Technician building',2014,11,20,12310,101000,1002,9,1049
1020760603,Expat,Male,65,'Sales representative',2014,12,1,400,107000,1001,3,1009
1027587098,Expat,Male,90,'Common labour',2014,9,7,1509,506002,1003,2,1004
1031670113,Expat,Male,83,"'Maker, pastry'",2016,5,10,400,701000,1001,5,1029
1028925762,Expat,Male,92,'Common labour',2015,5,1,1400,202000,1003,5,1029
1031758626,Expat,Male,73,'Common labour',2016,5,25,1875,101000,1002,8,1043
1017277306,Saudi,Male,87,'Administrative clerk ( general)',2015,8,13,4000,202000,1001,6,1032
1027434278,Expat,Male,91,"'Worker, building cleaning'",2014,5,6,1000,101000,1003,6,1032
1029501835,Expat,Male,90,'General systems analyst',2016,6,20,11000,101000,1002,3,1020
1025098245,Expat,Male,81,'Sales representative',2013,6,10,1000,101000,1001,3,1011
1028444519,Saudi,Male,85,'Agricultural worker',2014,11,9,3900,103000,1002,3,1005
1027774018,Expat,Male,81,'Ticketing clerk',2014,7,18,3150,101000,1003,7,1037
1022052165,Expat,Male,84,"'Engineer, telecommunications'",2014,12,1,6481.25,101000,1003,8,1043
1028866162,Expat,Male,82,"'Worker, loading and unloading'",2015,3,22,400,301000,1001,7,1035
1031548804,Expat,Male,87,'Common labour',2016,4,21,400,1101000,1001,5,1029
1014715123,Saudi,Male,88,"'Engineer, electronic maintenance'",2016,4,24,5000,302015,1002,6,1032
724755200,Expat,Male,69,'Common labour',2001,3,26,400,901000,1001,6,1032
1015849255,Saudi,Male,87,'Factor (Debt) collector',2016,8,17,3000,401000,1001,6,1031
1027069092,Expat,Male,74,'Common labour',2014,2,1,400,801000,1001,5,1029
1019906073,Expat,Male,90,'Building painter',2015,1,7,400,1101000,1001,5,1029
748667700,Expat,Male,61,'Truck driver',2015,8,22,800,501000,1001,8,1043
1031624146,Expat,Male,65,'Common labour',2016,5,3,400,101000,1001,6,1030
1029194455,Expat,Male,87,'Common labour',2015,5,20,400,701000,1001,5,1029
1025536287,Saudi,Male,96,"'Driver , all vehicles'",2013,8,22,3000,605000,1001,5,1029
986137000,Saudi,Female,81,'Cashier',2015,11,1,3000,506000,1003,6,1031
1030153089,Expat,Male,89,'Common labour',2015,12,15,400,507000,1001,3,1013
1023973002,Expat,Male,89,'Buildings electrician',2016,3,10,400,1101000,1001,6,1031
1022506960,Expat,Male,82,'Buildings electrician',2013,6,10,1000,202000,1001,6,1032
1015718291,Saudi,Male,84,'not found',2008,10,1,11440,501001,1002,2,1004
1020425204,Expat,Male,71,'Electricity welder',2012,2,1,1500,202000,1003,3,1017
1014984140,Expat,Male,76,"'Seller, household items'",2012,3,27,400,801000,1003,6,1032
1018538729,Expat,Male,76,'Truck driver',2013,6,12,400,1302000,1001,7,1035
822323200,Expat,Male,78,'Plasterer',2015,11,13,400,401000,1001,5,1029
1020412536,Expat,Male,83,"'Worker, packing and packaging'",2012,1,24,900,103000,1001,1,1000
1025552538,Saudi,Male,90,'Administration manager',2015,10,1,3000,101000,1001,6,1031
1020307898,Expat,Male,68,'Public driver',2011,12,22,400,101000,1001,5,1029
1024882137,Expat,Male,84,'Small transport car driver',2013,7,8,1800,506000,1001,7,1037
1021633161,Expat,Male,89,'Common labour',2013,5,11,1900,202000,1001,6,1031
1019058147,Expat,Male,84,'Marble tiles fitter',2013,6,14,400,602000,1001,6,1033
1017430972,Expat,Male,69,'General electrician',2015,1,1,1950,101000,1003,5,1029
1023314335,Expat,Male,88,'Founder',2014,1,1,450,505000,1004,5,1029
1020750913,Expat,Male,77,"'Director, financial and accounting affairs'",2012,3,13,9500,101000,1003,8,1043
1029394707,Expat,Male,88,'Common labour',2015,7,2,1109,101000,1003,8,1043
1028158463,Saudi,Male,97,"'Salesman, supply materials'",2016,6,19,3250,202000,1003,6,1031
1027445878,Expat,Male,90,"'Worker, loading and unloading'",2016,3,15,600,202000,1001,5,1029
1024665788,Expat,Male,85,'Reinforced building smith',2014,5,25,650,203000,1001,5,1029
1031575909,Expat,Male,85,'Common labour',2016,4,26,700,101000,1001,5,1029
1028657285,Expat,Male,92,'Workshop worker',2015,8,4,500,101000,1001,6,1030
1021156342,Saudi,Male,94,'Sales representative',2016,7,19,4074,101000,1003,8,1043
1020652689,Expat,Male,73,'Telecommunications technician',2015,12,1,500,202000,1001,8,1043
1017561908,Expat,Male,73,"'Worker, building cleaning'",2014,3,24,600,101000,1003,5,1029
1014159076,Expat,Male,62,'Auto electrician',2013,9,3,1600,202000,1001,6,1031
1018776072,Expat,Male,71,'Public driver',2013,10,22,600,101000,1001,5,1029
1027762863,Expat,Male,81,'Project engineer',2016,2,1,9375,101000,1003,6,1031
1024473381,Expat,Male,87,'Common labour',2013,5,11,400,101000,1001,6,1031
1028661993,Expat,Male,84,'Truck driver',2015,2,12,1300,202000,1005,5,1029
1021912436,Expat,Male,80,'Common labour',2014,6,9,700,201000,1003,5,1029
1016580936,Expat,Male,81,'Electronic technicians',2008,7,4,1000,101000,1001,6,1031
1024287094,Saudi,Female,67,"'Manager, advertising and public relations'",2013,6,19,3500,202000,1001,8,1043
1014361469,Expat,Male,68,'Tile layer',2014,12,23,400,401000,1001,5,1029
1023372768,Expat,Male,83,'Smith',2013,9,11,400,101000,1001,5,1029
1024716934,Expat,Male,78,'Common labour',2013,9,1,400,202000,1001,5,1029
1023138100,Expat,Male,62,'Common labour',2013,6,30,1576,506000,1001,6,1032
1024892428,Expat,Male,79,"'Worker, manual packing'",2013,7,3,500,110000,1001,6,1030
1031298617,Expat,Male,86,'Common labour',2016,3,13,400,401000,1001,5,1029
1025942175,Expat,Male,83,'Vehicle painter',2013,9,7,400,1302000,1001,5,1029
1018092922,Saudi,Male,81,'General systems analyst',2013,10,6,16593.75,501001,1002,2,1004
1026696484,Expat,Male,61,'Common labour',2014,11,28,500,503009,1001,3,1022
1029709611,Expat,Male,85,"'Worker, steaming'",2015,9,12,1634,202000,1003,5,1029
924763400,Saudi,Male,69,'Director ? General',2008,10,1,10000,101000,1001,5,1029
1031554917,Expat,Male,83,'Common labour',2016,4,21,400,403000,1001,8,1043
1021571883,Expat,Male,80,'Sea fisher',2012,6,1,400,505000,1001,1,1002
1024426725,Expat,Male,75,'General founder',2013,6,7,500,505002,1001,5,1029
1022000475,Expat,Male,82,'Common labour',2013,11,1,2159,506000,1002,8,1042
1018268416,Saudi,Male,92,"'Foreman, material follow-up'",2016,5,21,3900,301000,1002,3,1005
1016871754,Expat,Male,85,'Common labour',2015,4,5,1500,202000,1001,5,1029
1024192950,Expat,Male,85,"'Valet , cleaning and pressing'",2013,6,1,400,202000,1001,9,1049
1014084852,Expat,Male,75,'Common labour',2014,11,24,750,101000,1003,5,1029
1018910544,Expat,Male,89,'Common labour',2014,2,6,400,401000,1001,5,1029
550138400,Expat,Male,59,"'Driver , all vehicles'",2001,4,1,2250,101000,1003,3,1019
1028424421,Expat,Male,92,'Common labour',2014,12,22,467,202000,1003,5,1029
1031662605,Expat,Male,86,"'Worker, loading and unloading'",2016,5,9,400,901000,1001,5,1029
1024015005,Expat,Male,68,'Common labour',2013,5,26,400,302000,1001,6,1031
1029336918,Expat,Male,78,'Gypsum worker',2015,6,21,400,1101000,1001,5,1029
1018887057,Expat,Male,94,'General electrician',2011,1,1,3967,101000,1003,5,1029
1014748778,Saudi,Male,84,'Public driver',2011,10,1,4866,101000,1002,5,1029
1021902805,Expat,Male,83,'General electrician',2012,7,18,2952,101000,1002,4,1026
1021320232,Expat,Male,83,'Common labour',2012,5,1,1000,506000,1003,5,1029
1024652298,Expat,Male,67,'Common labour',2014,2,3,500,701000,1001,6,1033
1018781009,Expat,Male,82,'Agricultural worker',2013,6,25,584,101000,1001,6,1031
1027474343,Expat,Male,69,'Common labour',2014,5,5,700,201000,1001,8,1043
1027294963,Expat,Male,76,'Bending machine operator',2015,8,7,850,505000,1001,3,1016
1025044221,Expat,Male,63,'Car mechanic',2014,1,2,600,101000,1001,6,1030
1021714562,Expat,Male,89,'Car mechanic',2014,9,3,1600,202000,1001,5,1029
928763300,Saudi,Male,73,"'Reception clerk , general'",2002,6,10,38751.5,101000,1002,7,1038
1022939753,Expat,Female,69,'Common labour',2012,12,1,408,101000,1003,6,1031
639613000,Expat,Male,66,'General electrician',2012,3,19,6000,201000,1003,5,1029
1023870363,Expat,Male,82,'Common labour',2013,5,11,600,801000,1001,6,1032
1027544242,Expat,Male,80,'General founder',2014,5,28,400,101000,1003,9,1049
1018520998,Expat,Male,73,'Common labour',2014,7,8,800,101000,1001,5,1029
1022551166,Expat,Male,84,'Gypsum plaster worker',2012,11,10,400,301000,1001,6,1031
1023812248,Expat,Male,90,"'Worker, building cleaning'",2013,4,10,400,503000,1001,6,1033
1030274138,Expat,Male,89,'Common labour',2016,1,15,400,501000,1005,6,1031
1027994057,Expat,Male,91,'Common labour',2015,1,29,400,201000,1001,5,1029
1029082971,Expat,Male,88,'Gypsum worker',2015,5,1,400,103000,1001,5,1029
1016205160,Expat,Male,78,'Common labour',2014,10,9,3500,202000,1003,5,1029
1023008499,Saudi,Female,82,'Wages clerk',2013,11,7,3000,505000,1004,5,1029
1028774364,Saudi,Male,94,'occupation9111985',2015,3,6,1500,602000,1001,8,1043
1031110216,Expat,Male,86,'Common labour',2016,2,9,550,118001,1001,5,1029
1029640051,Expat,Male,77,'Common labour',2015,9,6,1100,101000,1003,3,1011
1020993279,Expat,Male,80,"'Engineer, medical equipment'",2012,4,1,14500,202000,1001,6,1031
1027253340,Saudi,Female,71,'Body guard',2014,4,1,4150,202000,1003,6,1033
833439500,Expat,Male,76,'Architect',2002,9,1,2500,101000,1001,5,1029
1027024419,Expat,Male,90,'Technician building',2015,12,1,1200,202000,1003,3,1020
1022262234,Expat,Male,82,'Common labour',2013,9,30,1200,203000,1001,5,1029
1020166572,Expat,Male,82,'Filing worker',2011,12,1,1166.67,101000,1003,5,1029
1021021042,Expat,Male,65,'Building painter',2013,6,29,400,504000,1001,5,1029
1024349784,Expat,Male,84,'Common labour',2013,5,26,400,206000,1001,8,1042
1028268324,Expat,Male,72,"'Worker, loading and unloading'",2014,11,22,1500,501000,1003,3,1013
1021143132,Expat,Male,79,'Small transport car driver',2016,2,23,400,501000,1001,5,1029
1020537011,Expat,Male,70,"'Worker, loading and unloading'",2012,2,1,400,501000,1003,1,1002
1031716099,Expat,Male,94,'Common labour',2016,5,17,400,401000,1001,6,1030
808366800,Expat,Male,72,'Common labour',2002,3,1,400,501000,1003,3,1014
1027197027,Expat,Male,82,'Truck driver',2014,3,19,3055,101000,1002,1,1000
1031239005,Expat,Female,65,'Cosmetic technician',2016,2,18,1200,101000,1001,9,1049
1016854208,Expat,Male,74,'Truck driver',2010,2,20,4350,101000,1003,8,1043
1032048870,Expat,Female,93,'Common labour',2016,7,31,1516.67,101000,1002,8,1043
1022831384,Expat,Male,80,'Constructions carpenter',2012,11,1,1203,504000,1002,5,1029
1028328463,Expat,Male,81,'Brick mason assistant',2015,6,7,1200,506000,1003,6,1033
1000433762,Expat,Male,73,'Common labour',2004,12,13,1750,202000,1003,3,1014
1019409424,Expat,Male,83,'Fitter',2011,6,3,400,101000,1001,3,1014
1021078813,Expat,Male,72,'Common labour',2012,4,20,650,101000,1003,1,1000
1018349448,Expat,Male,76,"'Manager, banking business'",2010,5,1,23096.5,101000,1002,8,1040
1032071579,Expat,Male,86,'Common labour',2016,8,4,800,501000,1003,3,1014
1026958582,Expat,Male,57,"'Driver , all vehicles'",2014,2,6,1500,202000,1001,5,1029
1031724889,Expat,Male,83,'Public driver',2016,5,19,1284,101000,1002,5,1029
845203500,Expat,Male,65,'Light vehicle mechanic',2002,12,1,1000,506000,1003,5,1029
1027449253,Expat,Male,92,'Common labour',2015,6,6,600,301000,1001,6,1031
1017182656,Expat,Male,67,"'Worker, building cleaning'",2009,3,29,584,101000,1001,6,1033
1019535256,Expat,Male,87,"'Worker, loading and unloading'",2011,7,12,400,1301000,1001,5,1029
1025210037,Expat,Male,79,'Taxi driver',2014,9,17,900,101000,1003,6,1031
1018531904,Expat,Male,51,'Computer programmer',2016,1,20,6875,101000,1003,6,1031
1025788594,Expat,Male,76,'Common labour',2013,8,1,400,101000,1001,5,1029
1030104366,Expat,Male,82,'Truck driver',2015,12,14,600,501000,1001,6,1031
1018995809,Saudi,Female,86,'reception clerk (Patients)',2011,2,15,5500,504000,1002,9,1047
1031034379,Expat,Male,86,'Mechanical production technician',2016,2,7,2400,101000,1003,5,1029
1029672690,Saudi,Male,92,'Primary stage teacher',2015,9,17,5000,202000,1001,9,1046
1031630745,Expat,Male,92,'Sales representative',2016,5,2,4000,101000,1001,8,1043
1021008594,Expat,Male,89,'Public driver',2013,11,21,1000,602000,1001,8,1043
1029194472,Expat,Male,94,'Common labour',2015,5,22,500,203000,1001,9,1049
1025145056,Expat,Male,68,'Reinforced building smith',2013,6,10,600,202000,1001,5,1029
1024377441,Expat,Male,78,'Common labour',2015,2,27,4000,202000,1003,5,1029
1015412603,Expat,Male,72,'Common labour',2007,5,9,500,202000,1001,6,1031
1031980934,Expat,Male,85,"'Worker, building cleaning'",2016,7,16,400,705000,1001,5,1029
1027022303,Expat,Male,82,'Project engineer',2014,2,17,11875,101000,1004,8,1043
1021352635,Expat,Male,79,'Common labour',2013,6,11,5700,202000,1003,6,1031
1019543481,Expat,Male,71,"'Manager, operation'",2013,10,2,4000,101000,1001,6,1031
1027051911,Saudi,Male,88,'Examination/Inspection technician',2014,2,2,4585,504000,1003,3,1017
1015472170,Expat,Male,70,'Common labour',2007,4,1,1400,101000,1003,1,1000
1025056140,Expat,Male,81,"'Worker, sweets /pastry packing and packaging'",2013,8,1,3130,501000,1002,3,1005
1029332025,Expat,Male,85,"'Driver , all vehicles'",2015,6,15,500,501000,1001,8,1043
1000452132,Expat,Male,81,'Accounts technician General',2004,12,5,7500,101000,1002,5,1029
1022807119,Expat,Male,80,'Common labour',2012,12,1,1910,501000,1003,3,1014
1021294993,Expat,Male,84,"'Tailor, men dress'",2013,7,9,500,303000,1001,6,1030
1027007203,Expat,Male,74,'Common labour',2016,4,25,400,801000,1001,5,1029
1025598110,Saudi,Female,89,'Common labour',2013,8,13,3875,501000,1003,3,1005
1019277628,Expat,Male,74,'Accounts technician General',2011,5,1,11850,101000,1003,6,1031
1025500015,Expat,Male,74,"'Draftsman, architectural'",2013,7,24,400,1101000,1001,6,1032
1022715582,Expat,Male,64,"'Engineer, mechanic ( general)'",2012,11,1,18750,202000,1003,5,1029
1026491263,Saudi,Female,83,'Sales representative',2015,3,1,3000,801000,1001,3,1005
1021566970,Expat,Male,90,'Common labour',2013,6,11,400,502000,1001,5,1029
1028409217,Expat,Male,89,'Auto electrician',2014,12,18,1800,501000,1001,7,1035
1023569371,Expat,Male,89,'Tube welder',2013,4,3,1760,504000,1003,2,1004
885101400,Expat,Male,48,'Common labour',2014,3,24,600,202000,1001,6,1033
85366800,Expat,Male,55,'Common labour',2015,11,1,2000,602000,1004,6,1033
889928600,Expat,Male,75,'Common labour',2003,9,1,871,501000,1004,3,1009
1021845332,Expat,Male,74,'Common labour',2015,8,28,800,202000,1003,3,1018
1020587073,Expat,Male,82,'Common labour',2012,2,23,400,705000,1001,6,1031
1031776278,Expat,Female,85,'Common labour',2016,5,27,400,602002,1001,3,1007
1018541234,Expat,Male,88,'Common labour',2010,8,1,850,402000,1004,5,1029
1026903209,Saudi,Male,90,'Store keeper',2014,1,30,3000,1001000,1006,9,1048
1023588912,Expat,Male,91,'Air conditioning and cooling installationtechnician',2015,11,15,3500,101000,1003,6,1031
1031387268,Saudi,Female,77,'Accounting and financial affairs clerks',2016,3,27,3000,1203000,1004,5,1029
505125300,Expat,Male,69,'Common labour',2004,1,1,1000,1101000,1001,3,1017
1026306211,Expat,Male,83,'Smith',2013,10,30,400,406000,1001,6,1033
1015402739,Saudi,Male,85,'Guard',2011,9,1,2000,602000,1003,8,1043
1028158039,Saudi,Male,95,'Salesman assistant',2016,6,4,3700,202000,1003,9,1049
1019018833,Expat,Male,76,'Operations analyst',2016,8,1,8064,506000,1003,6,1031
1019945636,Expat,Male,56,'Building painter',2011,10,17,400,204000,1003,5,1029
